,edit_count,sentiment,neg_sentiment
2009-04-06,1.2666666666666666,-0.19340029690000746,0.23398692810457516
2009-04-07,1.2666666666666666,-0.19340029690000746,0.23398692810457516
2009-04-08,1.2666666666666666,-0.19340029690000746,0.23398692810457516
2009-04-09,1.2666666666666666,-0.19340029690000746,0.23398692810457516
2009-04-10,1.2666666666666666,-0.19340029690000746,0.23398692810457516
2009-04-11,1.2666666666666666,-0.19340029690000746,0.23398692810457516
2009-04-12,0.7,-0.20102201037936743,0.22222222222222224
2009-04-13,2.933333333333333,-0.1795636460310799,0.2110759493670886
2009-04-14,3.466666666666667,-0.2041948676235062,0.24024261603375527
2009-04-15,3.466666666666667,-0.20437743665045321,0.24024261603375527
2009-04-16,3.3333333333333335,-0.18687389941280902,0.21524261603375525
2009-04-17,3.3,-0.15390595447287778,0.18190928270042192
2009-04-18,3.3,-0.15390595447287778,0.18190928270042192
2009-04-19,3.2666666666666666,-0.1292672380930764,0.1485759493670886
2009-04-20,3.2333333333333334,-0.0960292404022398,0.11524261603375527
2009-04-21,3.2333333333333334,-0.0960292404022398,0.11524261603375527
2009-04-22,3.2,-0.06330410293008708,0.08190928270042194
2009-04-23,3.2,-0.06330410293008708,0.08190928270042194
2009-04-24,3.2,-0.06330410293008708,0.08190928270042194
2009-04-25,3.2,-0.06330410293008708,0.08190928270042194
2009-04-26,3.2,-0.06330410293008708,0.08190928270042194
2009-04-27,3.2,-0.06330410293008708,0.08190928270042194
2009-04-28,3.2,-0.06330410293008708,0.08190928270042194
2009-04-29,3.2,-0.06330410293008708,0.08190928270042194
2009-04-30,3.2,-0.06330410293008708,0.08190928270042194
2009-05-01,3.2,-0.06330410293008708,0.08190928270042194
2009-05-02,3.2,-0.06330410293008708,0.08190928270042194
2009-05-03,3.2,-0.06330410293008708,0.08190928270042194
2009-05-04,3.2,-0.06330410293008708,0.08190928270042194
2009-05-05,3.2,-0.06330410293008708,0.08190928270042194
2009-05-06,3.2,-0.06330410293008708,0.08190928270042194
2009-05-07,3.2,-0.06330410293008708,0.08190928270042194
2009-05-08,3.2,-0.06330410293008708,0.08190928270042194
2009-05-09,3.2,-0.06330410293008708,0.08190928270042194
2009-05-10,3.2,-0.06330410293008708,0.08190928270042194
2009-05-11,3.2,-0.06330410293008708,0.08190928270042194
2009-05-12,3.2,-0.06330410293008708,0.08190928270042194
2009-05-13,0.6333333333333333,-0.09096422443787257,0.09583333333333334
2009-05-14,0.8666666666666667,-0.08546026241088259,0.0927536231884058
2009-05-15,0.9666666666666667,-0.06965554745300956,0.08442028985507247
2009-05-16,0.9666666666666667,-0.06965554745300956,0.08442028985507247
2009-05-17,0.9666666666666667,-0.06965554745300956,0.08442028985507247
2009-05-18,1.0333333333333334,-0.10273903102978416,0.11775362318840579
2009-05-19,1.0333333333333334,-0.10273903102978416,0.11775362318840579
2009-05-20,1.0333333333333334,-0.10273903102978416,0.11775362318840579
2009-05-21,1.0666666666666667,-0.12592948765858358,0.15108695652173912
2009-05-22,1.2666666666666666,-0.12716035867370845,0.16775362318840578
2009-05-23,1.2666666666666666,-0.12716035867370845,0.16775362318840578
2009-05-24,1.2666666666666666,-0.12716035867370845,0.16775362318840578
2009-05-25,1.2666666666666666,-0.12716035867370845,0.16775362318840578
2009-05-26,1.2666666666666666,-0.12716035867370845,0.16775362318840578
2009-05-27,1.2666666666666666,-0.12716035867370845,0.16775362318840578
2009-05-28,1.2666666666666666,-0.12716035867370845,0.16775362318840578
2009-05-29,1.2666666666666666,-0.12716035867370845,0.16775362318840578
2009-05-30,1.2666666666666666,-0.12716035867370845,0.16775362318840578
2009-05-31,1.2666666666666666,-0.12716035867370845,0.16775362318840578
2009-06-01,1.2666666666666666,-0.12716035867370845,0.16775362318840578
2009-06-02,1.2666666666666666,-0.12716035867370845,0.16775362318840578
2009-06-03,1.2666666666666666,-0.12716035867370845,0.16775362318840578
2009-06-04,1.2666666666666666,-0.12716035867370845,0.16775362318840578
2009-06-05,1.2666666666666666,-0.12716035867370845,0.16775362318840578
2009-06-06,1.2666666666666666,-0.12716035867370845,0.16775362318840578
2009-06-07,1.2666666666666666,-0.12716035867370845,0.16775362318840578
2009-06-08,1.2666666666666666,-0.12716035867370845,0.16775362318840578
2009-06-09,1.2666666666666666,-0.12716035867370845,0.16775362318840578
2009-06-10,1.2666666666666666,-0.12716035867370845,0.16775362318840578
2009-06-11,1.2666666666666666,-0.12716035867370845,0.16775362318840578
2009-06-12,1.2,-0.09414892717835983,0.13442028985507246
2009-06-13,0.43333333333333335,-0.07502166761292353,0.10833333333333334
2009-06-14,0.43333333333333335,-0.04155003213220173,0.09166666666666666
2009-06-15,0.43333333333333335,-0.04155003213220173,0.09166666666666666
2009-06-16,0.5333333333333333,-0.04984128988451428,0.11388888888888889
2009-06-17,0.4666666666666667,-0.016757806307739685,0.08055555555555555
2009-06-18,0.5666666666666667,-0.030460495584540895,0.10277777777777777
2009-06-19,0.6,-0.06377275470230313,0.1361111111111111
2009-06-20,0.5666666666666667,-0.0405822980735037,0.10277777777777777
2009-06-21,0.7,-0.040832399626572924,0.10277777777777777
2009-06-22,0.7333333333333333,-0.07415290604035059,0.1361111111111111
2009-06-23,0.7333333333333333,-0.07415290604035059,0.1361111111111111
2009-06-24,0.7333333333333333,-0.07415290604035059,0.1361111111111111
2009-06-25,0.7333333333333333,-0.07415290604035059,0.1361111111111111
2009-06-26,0.7333333333333333,-0.07415290604035059,0.1361111111111111
2009-06-27,0.7333333333333333,-0.07415290604035059,0.1361111111111111
